All device pins and their pinmux options
Pin,Name,Selected Mode,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,GPIO29,GPIO29,GPIO29,SCIA_TX,,EPWM7_B,GPIO29,OUTPUTXBAR6,EQEP1_B,SD2_C3,GPIO29,EQEP2_INDEX,LINA_RX,SPIB_STE,GPIO29,ERRORSTS,I2CB_SCL,HIC_NCS
2,GPIO28,,GPIO28,SCIA_RX,,EPWM7_A,GPIO28,OUTPUTXBAR5,EQEP1_A,SD2_D3,GPIO28,EQEP2_STROBE,LINA_TX,SPIB_CLK,GPIO28,ERRORSTS,I2CB_SDA,HIC_NOE
3,XRSn,XRSn
4,VDD,VDD
5,VSS,VSS
6,A6,,AIO228,,SD2_C1,,AIO228,,,,AIO228,,,,AIO228,,,HIC_A0
7,B2/C6,,AIO226,,SD2_D4,,AIO226,,,,AIO226,,,,AIO226,,,HIC_A1
8,A3/ B3/VDAC/ C5,,AIO242,,SD2_D2,,AIO242,,,,AIO242,,,,AIO242,,,HIC_A2
9,A2/B6/C9,,AIO224,,SD2_D3,,AIO224,,,,AIO224,,,,AIO224,,,HIC_A3
10,A15/ C7/B9,,AIO233,,SD2_D1,,AIO233,,,,AIO233,,,,AIO233,,,HIC_A4
11,A14/B14/C4,,AIO239,,SD1_D1,,AIO239,,,,AIO239,,,,AIO239,,,HIC_A5
12,A11/B10/C0,,AIO237,,SD1_D2,,AIO237,,,,AIO237,,,,AIO237,,,HIC_A6
13,A5/ C2/B12,,AIO244,,SD1_D3,,AIO244,,,,AIO244,,,,AIO244,,,HIC_A7
14,A1/B7/DACB_OUT,,AIO232,,SD1_D4,,AIO232,,,,AIO232,,,,AIO232,,,HIC_BASESEL0
15,A0/B15/C15/DACA_OUT,,AIO231,,SD1_C1,,AIO231,,,,AIO231,,,,AIO231,,,HIC_BASESEL1
16,VREFHI,VREFHI
17,VREFLO,VREFLO
18,A12/ C1,,AIO238,,SD2_C3,,AIO238,,,,AIO238,,,,AIO238,,,HIC_NCS
18,A12/ C1,,AIO248,,,,AIO248,,,,AIO248,,,,AIO248,,,
19,C3/A7,,AIO245,,SD1_C2,,AIO245,,,,AIO245,,,,AIO245,,,HIC_NOE
20,A8/ B0/C11,,AIO241,,SD2_C1,,AIO241,,,,AIO241,,,,AIO241,,,HIC_NBE1
21,VSSA,VSSA
22,VDDA,VDDA
23,A4/B8/ C14,,AIO225,,SD2_C2,,AIO225,,,,AIO225,,,,AIO225,,,HIC_NWE
24,A9/ B4/C8,,AIO227,,SD1_C3,,AIO227,,,,AIO227,,,,AIO227,,,HIC_NBE0
24,A9/ B4/C8,,AIO236,,,,AIO236,,,,AIO236,,,,AIO236,,,
25,A10/B1/C10,,AIO230,,SD1_C4,,AIO230,,,,AIO230,,,,AIO230,,,HIC_BASESEL2
26,VSS,VSS
27,VDD,VDD
28,VDDIO,VDDIO
29,GPIO13,,GPIO13,EPWM7_B,,MCAN_TX,GPIO13,EQEP1_INDEX,SCIB_RX,PMBUSA_ALERT,GPIO13,FSIRXA_CLK,LINB_RX,SPIA_SOMI,GPIO13,CANA_TX,HIC_D11,HIC_D5
30,GPIO12,,GPIO12,EPWM7_A,,MCAN_RX,GPIO12,EQEP1_STROBE,SCIB_TX,PMBUSA_CTL,GPIO12,FSIRXA_D0,LINB_TX,SPIA_CLK,GPIO12,CANA_RX,HIC_D13,HIC_INT
31,GPIO11,,GPIO11,EPWM6_B,,OUTPUTXBAR7,GPIO11,EQEP1_B,SCIB_RX,SPIA_STE,GPIO11,FSIRXA_D1,LINB_RX,EQEP2_A,GPIO11,SPIA_SIMO,HIC_D6,HIC_NBE0
32,GPIO33,,GPIO33,I2CA_SCL,,SPIB_STE,GPIO33,OUTPUTXBAR4,LINA_RX,SD1_C2,GPIO33,FSIRXA_CLK,CANA_RX,EQEP2_B,GPIO33,ADCSOCAO,SD1_C1,HIC_D0
33,GPIO16,,GPIO16,SPIA_SIMO,,OUTPUTXBAR7,GPIO16,EPWM5_A,SCIA_TX,SD1_D1,GPIO16,EQEP1_STROBE,PMBUSA_SCL,XCLKOUT,GPIO16,EQEP2_B,SPIB_SOMI,HIC_D1
34,GPIO17,,GPIO17,SPIA_SOMI,,OUTPUTXBAR8,GPIO17,EPWM5_B,SCIA_RX,SD1_C1,GPIO17,EQEP1_INDEX,PMBUSA_SDA,CANA_TX,GPIO17,,,HIC_D2
35,GPIO24,,GPIO24,OUTPUTXBAR1,EQEP2_A,,GPIO24,EPWM8_A,SPIB_SIMO,SD2_D1,GPIO24,LINB_TX,PMBUSA_SCL,SCIA_TX,GPIO24,ERRORSTS,,HIC_D3
36,TCK,TCK
37,GPIO37/TDO,,GPIO37,OUTPUTXBAR2,,I2CA_SCL,GPIO37,SCIA_TX,CANA_TX,LINA_TX,GPIO37,EQEP1_B,PMBUSA_ALERT,,GPIO37,,HIC_NRDY,TDO
38,TMS,TMS
39,GPIO35/TDI,,GPIO35,SCIA_RX,,I2CA_SDA,GPIO35,CANA_RX,PMBUSA_SCL,LINA_RX,GPIO35,EQEP1_A,PMBUSA_CTL,EPWM5_B,GPIO35,SD2_C1,HIC_NWE,TDI
40,GPIO32,,GPIO32,I2CA_SDA,,SPIB_CLK,GPIO32,EPWM8_B,LINA_TX,SD1_D2,GPIO32,FSIRXA_D0,CANA_TX,PMBUSA_SDA,GPIO32,ADCSOCBO,,HIC_INT
41,GPIO18/ X2,,GPIO18,SPIA_CLK,SCIB_TX,CANA_RX,GPIO18,EPWM6_A,I2CA_SCL,SD1_D2,GPIO18,EQEP2_A,PMBUSA_CTL,XCLKOUT,GPIO18,LINB_TX,FSITXA_TDM_CLK,HIC_INT
42,GPIO19/ X1,,GPIO19,SPIA_STE,SCIB_RX,CANA_TX,GPIO19,EPWM6_B,I2CA_SDA,SD1_C2,GPIO19,EQEP2_B,PMBUSA_ALERT,CLB_OUTPUTXBAR1,GPIO19,LINB_RX,FSITXA_TDM_D0,HIC_NBE0
43,VDDIO,VDDIO
44,VDD,VDD
45,VSS,VSS
46,GPIO39,,GPIO39,,,,GPIO39,,MCAN_RX,FSIRXA_CLK,GPIO39,EQEP2_INDEX,,CLB_OUTPUTXBAR2,GPIO39,SYNCOUT,EQEP1_INDEX,HIC_D7
47,GPIO8,,GPIO8,EPWM5_A,,ADCSOCAO,GPIO8,EQEP1_STROBE,SCIA_TX,SPIA_SIMO,GPIO8,I2CA_SCL,FSITXA_D1,CLB_OUTPUTXBAR5,GPIO8,HIC_A0,FSITXA_TDM_CLK,HIC_D8
